Data belum diurut
No,NIM,NAMA,NILAI
1,12345701,Bedu,91
2,12345702,Bedul,55
3,12345703,Cecep,60
4,12345704,Asap,81
5,12345705,Pandu,94
6,12345706,Budi,66
7,12345707,Kiki,53
8,12345708,Thompson,83
9,12345709,Albert,84
10,12345709,Edison,85
Rata-rata = 75.200000
Data sudah diurut
No,NIM,NAMA,NILAI
1,12345705,Pandu,94
2,12345701,Bedu,91
3,12345709,Edison,85
4,12345709,Albert,84
5,12345708,Thompson,83
6,12345704,Asap,81
7,12345706,Budi,66
8,12345703,Cecep,60
9,12345702,Bedul,55
10,12345707,Kiki,53
