NO, Nama, NIM, Nilai
1, Lukas, 13218005, 98
2, Muhammad, 13218013, 97
3, Hakim, 13218003, 95
4, Reza, 13218011, 95
5, Akbar, 13218007, 85
6, Lukman, 13218004, 84
7, John, 13218019, 83
8, Satria, 13218010, 75
9, Munir, 13218018, 74
10, Agus, 13218000, 72
11, Agung, 13218008, 70
12, William, 13218017, 69
13, Christian, 13218012, 67
14, Daud, 13218015, 66
15, Baskara, 13218016, 65
16, Hidayat, 13218001, 62
17, Markus, 13218006, 62
18, Oktavianus, 13218009, 61
19, Gandhi, 13218014, 58
20, Irvan, 13218002, 56
Rata-rata = 74.00
